ID,year,month,day,name,route_id,Nombre Ref 1,Link Ref 1,Nombre Ref 2,Link Ref 2,Nombre Ref 3,Link Ref 3,Nombre Ref 4,Link Ref 4
313,1977,1,25,Primera Absoluta.,458,,,,,,,,
314,1977,2,26,Primera Absoluta.,729,,,,,,,,
315,1977,3,19,Ruta Nueva desde Refugio DGA.,416,,,,,,,,
316,1978,,,Primera Ascensión solitaria a la Pared Sur.,438,,,,,,,,
317,1978,2,,Segunda Ascensión de la Pared Sur.,422,,,,,,,,
318,1978,2,5,Primera Absoluta.,265,,,,,,,,
319,1978,2,5,Primera Absoluta.,104,,,,,,,,
320,1978,2,5,Primera Absoluta.,105,,,,,,,,
321,1978,2,8,Primera Absoluta.,106,,,,,,,,
322,1978,2,10,Primera Absoluta.,107,,,,,,,,
323,1978,11,8,Segunda Ascensión.,729,,,,,,,,
324,1978,12,7,Primera Absoluta.,258,,,,,,,,
325,1979,,,Primer ascenso de la Pared SO.,548,,,,,,,,
326,1979,2,4,Primera Ascensión femenina a la Pared Sur.,438,,,,,,,,
327,1980,1,,Apertura Ruta Pardo-Peña.,431,,,,,,,,
328,1979,2,,Primera Absoluta.,102,,,,,,,,
329,1979,3,,Tercera Ascensión de la Pared Sur.,422,,,,,,,,
330,1980,1,18,Nueva Ruta por glaciar Oeste.,288,,,,,,,,
331,1980,2,,Segundo ascenso a la Pared Sur.,316,,,,,,,,
332,1980,9,,Nueva Ruta canaleta NO invernal.,341,,,,,,,,
333,1980,9,6,Primera Invernal.,438,,,,,,,,
334,1980,12,,Primer ascenso a la Pared Norte.,330,,,,,,,,
335,1980,12,,Cuarta Ascensión y Nueva Ruta a la Pared Sur.,422,,,,,,,,
336,1981,,,Primera a la Pared SO.,586,,,,,,,,
337,1981,,,Segundo Ascenso a la Pared Sur.,433,,,,,,,,
338,1981,,,Tercer ascenso a la Pared Sur.,433,,,,,,,,
339,1981,1,,Segunda Ascensión.,84,,,,,,,,
340,1981,1,,Tecera Ascensión por la Cara Norte.,87,,,,,,,,
